image_path,relative_path,image_name,normalized_filename,width,height,format,sha1,duplicate_in_new_batch
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cactus_blooming_with_pink_flower_202608212034.jpeg,New folder/Cactus_blooming_with_pink_flower_202608212034.jpeg,Cactus_blooming_with_pink_flower_202608212034.jpeg,cactus blooming with pink flower,1376,768,JPEG,10d79ba9c9dcde6b12d524bb1400ffa6decaac0e,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cars_driving_on_winding_roads_202608212032.jpeg,New folder/Cars_driving_on_winding_roads_202608212032.jpeg,Cars_driving_on_winding_roads_202608212032.jpeg,cars driving on winding roads,1376,768,JPEG,db06d1e52931cbeae2dc72429ec45ac510212a86,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_amusement_park_rides_202608212034.jpeg,New folder/Cartoon_amusement_park_rides_202608212034.jpeg,Cartoon_amusement_park_rides_202608212034.jpeg,cartoon amusement park rides,1376,768,JPEG,0e75d99bde2a5e3d3d1fa758ece6c13269d9c6b2,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_anchor_in_ocean_202608212032.jpeg,New folder/Cartoon_anchor_in_ocean_202608212032.jpeg,Cartoon_anchor_in_ocean_202608212032.jpeg,cartoon anchor in ocean,1376,768,JPEG,5eafd1bc043f313d8e12a25429a68af2aa97caab,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_architect_drawing_house_…_202608212032.jpeg,New folder/Cartoon_architect_drawing_house_…_202608212032.jpeg,Cartoon_architect_drawing_house_…_202608212032.jpeg,cartoon architect drawing house,1376,768,JPEG,4b2b599f30f60a500141060d99cc7c3f868c68e5,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_ball_hitting_wall_202608212034.jpeg,New folder/Cartoon_ball_hitting_wall_202608212034.jpeg,Cartoon_ball_hitting_wall_202608212034.jpeg,cartoon ball hitting wall,1376,768,JPEG,b56a1e70b1439bd51d238b214f28c828cc28e7f5,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_bat_hanging_from_branch_202608212032.jpeg,New folder/Cartoon_bat_hanging_from_branch_202608212032.jpeg,Cartoon_bat_hanging_from_branch_202608212032.jpeg,cartoon bat hanging from branch,1376,768,JPEG,4e88b909a0dbdd1e174bef4b56c0cd2609b4db51,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_battery_with_glowing_energy_202608212032.jpeg,New folder/Cartoon_battery_with_glowing_energy_202608212032.jpeg,Cartoon_battery_with_glowing_energy_202608212032.jpeg,cartoon battery with glowing energy,1376,768,JPEG,98b87d649bd1df24b51e3807823ed8449b4e6888,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_bird_flying_over_crops_202608212034.jpeg,New folder/Cartoon_bird_flying_over_crops_202608212034.jpeg,Cartoon_bird_flying_over_crops_202608212034.jpeg,cartoon bird flying over crops,1376,768,JPEG,fd303738329b5f985eb751c1c6925a73e4ccab49,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_bread_loaves_count_compa…_202608212034.jpeg,New folder/Cartoon_bread_loaves_count_compa…_202608212034.jpeg,Cartoon_bread_loaves_count_compa…_202608212034.jpeg,cartoon bread loaves count compa,1376,768,JPEG,4556d4bc27badc511250a1f2b070e2f5349865a8,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_cat_looking_at_square_202608212034.jpeg,New folder/Cartoon_cat_looking_at_square_202608212034.jpeg,Cartoon_cat_looking_at_square_202608212034.jpeg,cartoon cat looking at square,1376,768,JPEG,c96cf3a003948f67e64c8e3bc11b79ce52f2e1d4,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_cat_sleeping_on_pillow_202608212033.jpeg,New folder/Cartoon_cat_sleeping_on_pillow_202608212033.jpeg,Cartoon_cat_sleeping_on_pillow_202608212033.jpeg,cartoon cat sleeping on pillow,1376,768,JPEG,7b9114d68a448f9004e59802192a543a936898b3,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_character_pushing_boulder_202608212034.jpeg,New folder/Cartoon_character_pushing_boulder_202608212034.jpeg,Cartoon_character_pushing_boulder_202608212034.jpeg,cartoon character pushing boulder,1376,768,JPEG,21811e2fc50ae23811747769d1e8ed6627771ff3,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_character_relaxing_in_ha…_202608212034.jpeg,New folder/Cartoon_character_relaxing_in_ha…_202608212034.jpeg,Cartoon_character_relaxing_in_ha…_202608212034.jpeg,cartoon character relaxing in ha,1376,768,JPEG,d800156d79d56e6c3c0da49ea6c387a6b570aea2,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_character_tasting_awful_…_202608212034.jpeg,New folder/Cartoon_character_tasting_awful_…_202608212034.jpeg,Cartoon_character_tasting_awful_…_202608212034.jpeg,cartoon character tasting awful,1376,768,JPEG,bd851c22b3492b3defb1118d695fee18dd4d3a50,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_character_thinking_hard_202608212032.jpeg,New folder/Cartoon_character_thinking_hard_202608212032.jpeg,Cartoon_character_thinking_hard_202608212032.jpeg,cartoon character thinking hard,1376,768,JPEG,7328833512292b9d0ba030ea5c68b1d61f00483a,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Cartoon_character_wiping_sweat_202608212033.jpeg,New folder/Cartoon_character_wiping_sweat_202608212033.jpeg,Cartoon_character_wiping_sweat_202608212033.jpeg,cartoon character wiping sweat,1376,768,JPEG,5e310400b22bc2924d120d0b24070606a2e48368,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Doctor_and_nurse_standing_outside_202608212033.jpeg,New folder/Doctor_and_nurse_standing_outside_202608212033.jpeg,Doctor_and_nurse_standing_outside_202608212033.jpeg,doctor and nurse standing outside,1376,768,JPEG,e7d8e782fcc9e8f6d9fcab6882ad78a6b1ebf06a,False
