001. a 10-year-old girl | فتاة عمرها عشر سنوات | U1 L2
002. absent | غائب | U6 LStory
003. acts of kindness | أعمال طيبة/مواقف إنسانية | U3 L2
004. adventure | مغامرة | U4 L4&5
005. air pollution | تلوث الهواء | U2 L4&5
006. alarm | جهاز إنذار | U5 L4&5
007. amazing | مدهش | U2 L4&5
008. announce | يعلن | U6 LStory
009. annoying | يزعج | U6 LStory
010. annual | سنوي | U6 LStory
011. apologize | يعتذر | U6 LStory
012. areas | مناطق | U3 L4&5
013. art | فن | U5 L4&5
014. as well | أيضًا | U3 L1
015. at night | ليلاً | U1 L2
016. attention | اهتمام/عناية | U3 L2
017. bear | دب | U3 L1
018. behavior | سلوك | U6 LStory
019. between classes | بين الحصص الدراسية | U1 L2
020. bin | سلة مهملات | U2 L2
021. board | لوح (خشبي) | U5 L3
022. bottles | زجاجات | U2 L1
023. brave | شجاع | U5 L2
024. break time | وقت الفسحة | U1 L2
025. breakfast | وجبة الإفطار | U1 L4&5
026. brown bread | خبز القمح (البلدي) | U1 L2
027. brush teeth | يغسل الأسنان | U1 L2
028. build | يبني | U2 L4&5
029. building | مبنى | U2 L4&5
030. built | يبني | U2 L4&5
031. bullying | تنمر | U6 LStory
032. busy market | سوق مزدحم | U4 L1
033. butterflies | فراشات | U1 L1
034. by hand | يدويًا | U2 L3
035. cage | قفص | U3 L2
036. Cairo Tower | برج القاهرة | U4 L1
037. call out | يصيح/ينادي بصوت عالٍ | U3 L3
038. cap | قبعة | U5 L1
039. care | رعاية | U3 L2
040. care for = take care of | يعتني بـ | U3 L2
041. carelessly | بإهمال | U5 L3
042. carpenter | نجار | U5 L3
043. carpets | سجاد | U2 L3
044. cartoons | رسوم متحركة | U5 L2
045. catch | يصطاد | U3 L1
046. caught | يصطاد | U3 L1
047. cave | كهف | U3 L3
048. celebrate | يحتفل | U2 L3
049. celebrated | يحتفل | U2 L3
050. celebration | احتفال | U2 L3
051. challenges | تحديات/صعوبات | U3 L2
052. character | شخصية | U5 L2
053. check | يفحص | U3 L2
054. checked | يفحص | U3 L2
055. city | مدينة (كبيرة) | U4 L2
056. claws | مخالب (الحيوانات) | U3 L1
057. clean | ينظف / نظيف | U2 L1
058. climb | يتسلق | U3 L1
059. climbed | يتسلق | U3 L1
060. closet | خزانة (دولاب) ملابس | U6 LStory
061. clothes | ملابس | U2 L1
062. coat | الغطاء الخارجي (للجسم الحيوان) | U3 L1
063. coins | عملات معدنية | U1 L3
064. collage | فن اللصق | U3 L4&5
065. collect | يجمع | U2 L1
066. colorful | ملوّن | U1 L1
067. come inside | تفضل بالدخول | U1 L3
068. come out | يخرج من | U3 L3
069. community park | حديقة مجتمعية | U2 L1
070. competition | مسابقة | U6 LStory
071. costume | زي خاص | U5 L1
072. country | دولة / بلد | U4 L1
073. covered with | مغطى بـ | U6 LStory
074. crafts | حرف يدوية | U2 L3
075. create | ينشئ | U3 L2
076. created | ينشئ | U3 L2
077. crooked | مائل / منحني / معوج | U5 L3
078. culture | ثقافة | U2 L3
079. cycle | يركب دراجة | U2 L4&5
080. cycled | يركب دراجة | U2 L4&5
081. daily | يومي | U3 L2
082. daily routine | روتين يومي | U1 L4&5
083. danger | خطر | U3 L4&5
084. dates | تمر | U4 L4&5
085. daytime | النهار | U4 L4&5
086. decorations | زينة / زخارف | U2 L3
087. deep breath | نفس عميق | U1 L3
088. designs | تصميمات | U2 L3
089. diary | مفكرة | U2 L4&5
090. die | يموت | U3 L3
