source_number,source_path,candidate_term,normalized_candidate,candidate_is_manifest_term,confidence,caption,has_visible_text,has_watermark_or_logo,accept_for_flashcard,selection_score
1000212209,/home/ubuntu/upload/1000212209.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 73),False,False,False,0
1000212210,/home/ubuntu/upload/1000212210.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212211,/home/ubuntu/upload/1000212211.jpg,doctor,doctor,True,high,A cartoon illustration of a smiling male doctor in a white coat and stethoscope holding a patient chart in a clinic hallway.,True,False,True,330
1000212212,/home/ubuntu/upload/1000212212.jpg,drink plenty of water,drink plenty of water,True,high,A young girl happily drinking a large glass of cold water with a lemon slice through a straw in a kitchen.,False,False,True,335
1000212213,/home/ubuntu/upload/1000212213.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 70),False,False,False,0
1000212214,/home/ubuntu/upload/1000212214.jpg,do exercises,do exercises,True,high,"A group of people are seen performing various physical activities such as lifting weights, running on a treadmill, and jumping in a gym setting.",True,False,True,330
1000212215,/home/ubuntu/upload/1000212215.jpg,deep breath,deep breath,True,high,"A cartoon boy stands on a nature trail, eyes closed and smiling, taking a deep breath of fresh air as indicated by a nearby sign.",True,False,True,330
1000212216,/home/ubuntu/upload/1000212216.jpg,diary,diary,True,high,"A pink, decorated secret diary with a heart-shaped lock and key on a desk.",True,False,True,330
1000212217,/home/ubuntu/upload/1000212217.jpg,dinner,dinner,True,high,A family gathers around a large table to enjoy a festive dinner together in a cozy room with a fireplace.,False,False,True,335
1000212218,/home/ubuntu/upload/1000212218.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 70),False,False,False,0
1000212219,/home/ubuntu/upload/1000212219.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212220,/home/ubuntu/upload/1000212220.jpg,dress,dress,True,high,A colorful floral dress displayed on a mannequin in a sewing studio.,True,False,True,330
1000212221,/home/ubuntu/upload/1000212221.jpg,dirty,dirty,True,high,"A happy cartoon character and children playing in a mud puddle, getting their clothes and fur covered in dirt.",False,False,True,335
1000212222,/home/ubuntu/upload/1000212222.jpg,cartoons,cartoons,True,high,A corkboard covered with various colorful cartoon drawings and sketches of characters and animals.,False,False,True,335
1000212223,/home/ubuntu/upload/1000212223.jpg,cartoons,cartoons,True,high,An artist's desk with various cartoon character sketches and a finished colorful illustration.,True,False,True,330
1000212224,/home/ubuntu/upload/1000212224.jpg,climb,climb,True,high,A young girl wearing a helmet and harness is climbing a colorful indoor rock wall.,False,False,True,335
1000212225,/home/ubuntu/upload/1000212225.jpg,at night,at night,True,high,A cartoon illustration of a peaceful village under a starry sky with a crescent moon at night.,False,False,True,335
