image_id,batch,unit_lesson,term_en,translation_ar,suggested_filename,visual_idea_en,generation_prompt_en,status
11,1,U6 LStory,apologize,يعتذر,cartoon-011-apologize.png,one child kindly saying sorry to another child after a small accident,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “apologize”. Arabic teaching meaning for interpretation only: “يعتذر”. Show: one child kindly saying sorry to another child after a small accident.",To generate
12,1,U3 L4&5,areas,مناطق,cartoon-012-areas.png,"a simple community park with clearly separate playground, garden, and picnic areas","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “areas”. Arabic teaching meaning for interpretation only: “مناطق”. Show: a simple community park with clearly separate playground, garden, and picnic areas.",To generate
13,1,U5 L4&5,art,فن,cartoon-013-art.png,"a single clear, child-friendly visual that shows the literal meaning of “art” (فن)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “art”. Arabic teaching meaning for interpretation only: “فن”. Show: a single clear, child-friendly visual that shows the literal meaning of “art” (فن).",To generate
14,1,U3 L1,as well,أيضًا,cartoon-014-as-well.png,two children both joining the same friendly activity,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “as well”. Arabic teaching meaning for interpretation only: “أيضًا”. Show: two children both joining the same friendly activity.",To generate
15,1,U1 L2,at night,ليلاً,cartoon-015-at-night.png,a child looking through a window at the moon and stars at night,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “at night”. Arabic teaching meaning for interpretation only: “ليلاً”. Show: a child looking through a window at the moon and stars at night.",To generate
16,1,U3 L2,attention,اهتمام/عناية,cartoon-016-attention.png,a child listening carefully while a teacher points to a picture board with no writing,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “attention”. Arabic teaching meaning for interpretation only: “اهتمام/عناية”. Show: a child listening carefully while a teacher points to a picture board with no writing.",To generate
17,1,U3 L1,bear,دب,cartoon-017-bear.png,"a single clear, child-friendly visual that shows the literal meaning of “bear” (دب)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “bear”. Arabic teaching meaning for interpretation only: “دب”. Show: a single clear, child-friendly visual that shows the literal meaning of “bear” (دب).",To generate
18,1,U6 LStory,behavior,سلوك,cartoon-018-behavior.png,children showing polite classroom behaviour by waiting their turn,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “behavior”. Arabic teaching meaning for interpretation only: “سلوك”. Show: children showing polite classroom behaviour by waiting their turn.",To generate
19,1,U1 L2,between classes,بين الحصص الدراسية,cartoon-019-between-classes.png,children walking calmly in a school hallway between two lessons,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “between classes”. Arabic teaching meaning for interpretation only: “بين الحصص الدراسية”. Show: children walking calmly in a school hallway between two lessons.",To generate
20,1,U2 L2,bin,سلة مهملات,cartoon-020-bin.png,"a single clear, child-friendly visual that shows the literal meaning of “bin” (سلة مهملات)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “bin”. Arabic teaching meaning for interpretation only: “سلة مهملات”. Show: a single clear, child-friendly visual that shows the literal meaning of “bin” (سلة مهملات).",To generate
